COMPRESSOR,CESM GEOMEAN,EXAALT GEOMEAN,HACC GEOMEAN,NYX GEOMEAN,QMC GEOMEAN,SCALE GEOMEAN,GEOMEAN OF GEOMEANS
AdaptiveFC,0.001153206,0.000974569,0.001101008,0.001098240,0.001133763,0.001118600,0.001094966
ANS,177.117785314,144.923405504,171.268270105,162.844015415,159.954871099,176.589411048,165.057498019
Bitcomp b1,449.307533978,486.919412019,421.882528068,417.191879714,420.735738168,444.647843629,439.466351696
Bitcomp b0,461.776390195,446.542025804,428.752127207,424.104096179,428.689531468,453.113032487,440.271298891
Bitcomp i0,531.176846519,435.340202972,512.371568635,471.370646317,459.374756000,526.715253308,488.044865728
Bitcomp i1,474.226597141,455.716520417,451.595269393,427.098145319,422.017499999,470.507192629,449.754737001
Cascaded b,31.452294235,20.514634702,28.498841319,28.175036798,27.718686675,31.321897685,27.680340076
Cascaded i,168.641972007,93.976017034,161.056251036,149.103095039,141.392224527,164.230917330,143.787533096
Deflate,4.325777698,3.653685687,3.769405174,3.481713184,3.404200864,4.274898116,3.801605293
Gdeflate,4.658398784,4.174753435,4.041867549,3.729939558,3.628799853,4.607862616,4.121629824
LZ4 b,5.628038899,6.381162616,4.947950136,4.403146501,4.317080889,5.559965203,5.155663951
LZ4 i,24.585078285,16.230753071,19.349179070,20.269201234,19.693999631,22.219282463,20.226880095
MPC,46.343245399,43.723020241,46.354546228,12.601742568,46.244499868,46.235662891,36.915559225
Ndzip,310.653830338,207.815161738,225.091994724,216.625917062,209.583825712,250.296106153,234.228305867
SNAPPY,53.614225723,19.343220081,53.044382914,51.703861314,43.116129024,55.830372879,43.575954994
ZSTD,3.786787724,3.885720363,3.450094472,3.014052838,3.128311161,3.793309279,3.492813726
