COMPRESSOR,CESM GEOMEAN,EXAALT GEOMEAN,HACC GEOMEAN,NYX GEOMEAN,QMC GEOMEAN,SCALE GEOMEAN,GEOMEAN OF GEOMEANS
ANS,1.29,1.11,1.18,1.10,1.05,1.30,1.17
Bitcomp b0,1.18,1.01,1.00,1.00,1.00,1.16,1.06
Bitcomp b1,1.15,1.00,1.00,1.00,1.00,1.15,1.05
Bitcomp i0,1.65,1.25,1.49,1.26,1.16,1.65,1.40
Bitcomp i1,1.26,1.04,1.13,1.03,1.00,1.27,1.12
Cascaded b,1.12,1.00,1.00,1.00,1.00,1.10,1.04
Cascaded i,1.50,1.12,1.30,1.14,1.02,1.43,1.24
Deflate,1.33,1.26,1.19,1.12,1.11,1.34,1.22
Gdeflate,1.32,1.25,1.19,1.11,1.11,1.34,1.22
LZ4 b,1.18,1.14,1.00,1.00,1.04,1.16,1.08
LZ4 i,1.18,1.11,1.00,1.00,1.04,1.16,1.08
MPC,1.77,1.24,1.72,1.24,1.15,1.76,1.46
Ndzip,1.38,1.42,1.38,1.38,1.14,1.83,1.41
SNAPPY,1.17,1.10,1.00,1.00,1.03,1.17,1.07
ZSTD,1.34,1.30,1.20,1.12,1.12,1.36,1.24
AdaptiveFC,1.99,1.38,1.48,1.41,1.21,1.91,1.54
